experiment_name,train_accuracy,test_accuracy,n_features,feature_creation_timing,feature_classification_and_prediction_time,amplitude_metric,features,homology_dimensions,inverse_input,processing_filter,processing_scaler_metric,subsampling_factor
"amplitude_metric-bottleneck_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-True_processing_filter-True_processing_scaler_metric-None_subsampling_factor-1",0.6349206349206349,0.5370370370370371,9,31.62088894844055,1.1174919605255127,bottleneck,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",True,True,None,1
"amplitude_metric-bottleneck_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-True_processing_filter-True_processing_scaler_metric-None_subsampling_factor-2",0.6428571428571429,0.4444444444444444,9,4.895714282989502,0.9176921844482422,bottleneck,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",True,True,None,2
"amplitude_metric-bottleneck_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-True_processing_filter-True_processing_scaler_metric-None_subsampling_factor-3",0.6507936507936508,0.5370370370370371,9,2.542272090911865,0.7982971668243408,bottleneck,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",True,True,None,3
"amplitude_metric-bottleneck_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-True_processing_filter-True_processing_scaler_metric-bottleneck_subsampling_factor-1",0.6190476190476191,0.5555555555555556,9,32.433740854263306,1.0836973190307615,bottleneck,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",True,True,bottleneck,1
"amplitude_metric-bottleneck_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-True_processing_filter-True_processing_scaler_metric-bottleneck_subsampling_factor-2",0.6428571428571429,0.5370370370370371,9,5.028184652328491,1.0422635078430176,bottleneck,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",True,True,bottleneck,2
"amplitude_metric-bottleneck_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-True_processing_filter-True_processing_scaler_metric-bottleneck_subsampling_factor-3",0.6587301587301587,0.5555555555555556,9,2.5965678691864014,1.0507071018218994,bottleneck,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",True,True,bottleneck,3
"amplitude_metric-bottleneck_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-True_processing_filter-True_processing_scaler_metric-wasserstein_subsampling_factor-1",0.6190476190476191,0.5555555555555556,9,32.779342889785774,1.170276403427124,bottleneck,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",True,True,wasserstein,1
"amplitude_metric-bottleneck_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-True_processing_filter-True_processing_scaler_metric-wasserstein_subsampling_factor-2",0.6349206349206349,0.5370370370370371,9,4.9908013343811035,1.1442430019378662,bottleneck,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",True,True,wasserstein,2
"amplitude_metric-bottleneck_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-True_processing_filter-True_processing_scaler_metric-wasserstein_subsampling_factor-3",0.6587301587301587,0.5555555555555556,9,2.6766159534454346,1.1175968647003174,bottleneck,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",True,True,wasserstein,3
"amplitude_metric-bottleneck_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-True_processing_filter-True_processing_scaler_metric-landscape_subsampling_factor-1",0.6190476190476191,0.5555555555555556,9,42.429614543914795,1.2905299663543701,bottleneck,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",True,True,landscape,1
