experiment_name,train_accuracy,test_accuracy,n_features,feature_creation_timing,feature_classification_and_prediction_time,amplitude_metric,features,homology_dimensions,inverse_input,processing_filter,processing_scaler_metric,subsampling_factor
"amplitude_metric-betti_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-False_processing_filter-False_processing_scaler_metric-landscape_subsampling_factor-2",1,0.611111111,9,7.399821758,40.66578865,betti,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",FALSE,FALSE,landscape,2
"amplitude_metric-landscape_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-False_processing_filter-False_processing_scaler_metric-None_subsampling_factor-2",1,0.592592593,9,6.978390217,40.77992773,landscape,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",FALSE,FALSE,None,2
"amplitude_metric-landscape_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-False_processing_filter-False_processing_scaler_metric-bottleneck_subsampling_factor-2",1,0.592592593,9,7.455902338,40.74111319,landscape,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",FALSE,FALSE,bottleneck,2
"amplitude_metric-landscape_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-False_processing_filter-False_processing_scaler_metric-silhouette_subsampling_factor-2",1,0.592592593,9,8.540274858,40.22137237,landscape,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",FALSE,FALSE,silhouette,2
"amplitude_metric-betti_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-True_processing_filter-False_processing_scaler_metric-None_subsampling_factor-3",1,0.592592593,9,3.290454626,39.97416854,betti,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",TRUE,FALSE,None,3
"amplitude_metric-betti_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-True_processing_filter-False_processing_scaler_metric-bottleneck_subsampling_factor-3",1,0.592592593,9,3.439961433,39.7957952,betti,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",TRUE,FALSE,bottleneck,3
"amplitude_metric-betti_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-True_processing_filter-False_processing_scaler_metric-wasserstein_subsampling_factor-3",1,0.592592593,9,3.396798372,38.60037184,betti,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",TRUE,FALSE,wasserstein,3
"amplitude_metric-betti_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-True_processing_filter-False_processing_scaler_metric-landscape_subsampling_factor-3",1,0.592592593,9,3.691936016,39.33060336,betti,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",TRUE,FALSE,landscape,3
"amplitude_metric-betti_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-True_processing_filter-False_processing_scaler_metric-betti_subsampling_factor-3",1,0.592592593,9,3.489257097,40.12880635,betti,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",TRUE,FALSE,betti,3
"amplitude_metric-betti_features-['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']_homology_dimensions-[0, 1, 2]_inverse_input-True_processing_filter-False_processing_scaler_metric-heat_subsampling_factor-3",1,0.592592593,9,4.357942581,39.73122454,betti,"['PersistenceEntropy', 'Amplitude', 'NumberOfPoints']","[0, 1, 2]",TRUE,FALSE,heat,3
